epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,680.371,0.30854,0.15343,0.67929,0.95097,0.97135,0.97518,0.90304,0.2447,0.14711,0.66407,0.00112574,0.00112574,0.00112574
43,696.225,0.28317,0.15659,0.67422,0.95841,0.97064,0.98331,0.91818,0.24011,0.14263,0.66112,0.00111254,0.00111254,0.00111254
44,712.297,0.31179,0.15663,0.68059,0.96662,0.97764,0.98676,0.92278,0.22017,0.1342,0.65693,0.00109934,0.00109934,0.00109934
45,728.536,0.31575,0.15303,0.6817,0.95383,0.97954,0.97394,0.91222,0.24274,0.14468,0.66008,0.00108614,0.00108614,0.00108614
46,745.03,0.32233,0.15446,0.67769,0.95935,0.97834,0.97872,0.91205,0.23448,0.14072,0.66157,0.00107294,0.00107294,0.00107294
47,760.91,0.27088,0.14581,0.67661,0.95708,0.97621,0.9831,0.91759,0.24069,0.14615,0.66447,0.00105973,0.00105973,0.00105973
48,776.996,0.31339,0.15357,0.67631,0.96852,0.96622,0.98424,0.91543,0.2465,0.14316,0.66458,0.00104653,0.00104653,0.00104653
49,793.09,0.3045,0.15916,0.67613,0.9639,0.95979,0.97325,0.9074,0.22993,0.15591,0.66057,0.00103333,0.00103333,0.00103333
50,809.185,0.30491,0.15218,0.67417,0.96571,0.98036,0.97785,0.91483,0.23494,0.14432,0.66398,0.00102013,0.00102013,0.00102013
51,825.006,0.27342,0.14504,0.67575,0.97134,0.98052,0.98283,0.91764,0.24289,0.13607,0.66783,0.00100693,0.00100693,0.00100693
52,841.177,0.31598,0.15213,0.68005,0.96489,0.97709,0.98703,0.91805,0.2408,0.13909,0.66285,0.000993727,0.000993727,0.000993727
53,857.057,0.2897,0.14385,0.67674,0.96151,0.96836,0.97818,0.90952,0.2437,0.14446,0.66305,0.000980525,0.000980525,0.000980525
54,873.113,0.32067,0.15282,0.68374,0.962,0.98142,0.98433,0.91776,0.24709,0.13818,0.66161,0.000967324,0.000967324,0.000967324
55,889.103,0.30637,0.14992,0.6767,0.97226,0.97779,0.98485,0.92159,0.24033,0.13958,0.66677,0.000954122,0.000954122,0.000954122
56,905.277,0.30267,0.14374,0.67602,0.96572,0.9849,0.97997,0.91604,0.24976,0.13785,0.66102,0.000940921,0.000940921,0.000940921
57,921.406,0.29945,0.1486,0.67439,0.96357,0.98052,0.98146,0.91677,0.24459,0.13604,0.66232,0.000927719,0.000927719,0.000927719
58,937.335,0.29245,0.14387,0.67563,0.9693,0.97164,0.97787,0.91691,0.23944,0.13116,0.65984,0.000914518,0.000914518,0.000914518
59,953.457,0.30091,0.14641,0.67457,0.96546,0.9778,0.97992,0.91675,0.22326,0.13759,0.65997,0.000901316,0.000901316,0.000901316
60,969.202,0.24528,0.13176,0.67395,0.97146,0.96225,0.97923,0.91471,0.23946,0.13274,0.66034,0.000888115,0.000888115,0.000888115
61,984.932,0.26279,0.13213,0.66627,0.97024,0.98246,0.98854,0.92499,0.21607,0.12927,0.65859,0.000874914,0.000874914,0.000874914
62,1001.01,0.26697,0.13646,0.67453,0.9612,0.97153,0.98369,0.91938,0.23877,0.13213,0.65938,0.000861712,0.000861712,0.000861712
63,1017.17,0.29536,0.14354,0.67528,0.95853,0.98268,0.97502,0.91193,0.22351,0.13047,0.65905,0.000848511,0.000848511,0.000848511
64,1033.05,0.26007,0.13072,0.66937,0.96941,0.98733,0.98001,0.91638,0.22948,0.12837,0.65742,0.000835309,0.000835309,0.000835309
65,1049.16,0.28893,0.13885,0.67466,0.97263,0.9892,0.98157,0.90699,0.24923,0.13083,0.66529,0.000822108,0.000822108,0.000822108
66,1065.21,0.29828,0.14163,0.67813,0.96848,0.98389,0.97955,0.91853,0.22386,0.12413,0.65678,0.000808906,0.000808906,0.000808906
67,1081.16,0.25729,0.12842,0.67253,0.96361,0.98789,0.97965,0.91389,0.23044,0.12832,0.65762,0.000795705,0.000795705,0.000795705
68,1097.12,0.27488,0.13497,0.67071,0.97132,0.98691,0.97827,0.91638,0.21731,0.12583,0.65442,0.000782504,0.000782504,0.000782504
69,1113.08,0.28178,0.13397,0.67357,0.97448,0.98644,0.98256,0.92213,0.2246,0.12379,0.65592,0.000769302,0.000769302,0.000769302
