epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,676.758,0.33672,0.25372,0.82646,0.95545,0.98277,0.97231,0.90437,0.33309,0.28575,0.81167,0.00101007,0.00101007,0.00101007
43,692.557,0.29724,0.23766,0.82063,0.94983,0.98052,0.98066,0.91043,0.33421,0.2798,0.80991,0.00099405,0.00099405,0.00099405
44,708.453,0.32863,0.25117,0.82573,0.96631,0.97737,0.9812,0.90981,0.34533,0.28764,0.81634,0.000978027,0.000978027,0.000978027
45,724.456,0.34097,0.24861,0.82517,0.95289,0.96425,0.96534,0.89554,0.33227,0.28687,0.81081,0.000962005,0.000962005,0.000962005
46,740.753,0.35348,0.2524,0.82361,0.96178,0.97466,0.97756,0.90872,0.33124,0.27052,0.80715,0.000945982,0.000945982,0.000945982
47,756.596,0.28069,0.23198,0.82285,0.96996,0.98288,0.9862,0.91733,0.32531,0.25928,0.80615,0.000929959,0.000929959,0.000929959
48,772.612,0.33911,0.24887,0.81718,0.96279,0.98078,0.98429,0.91067,0.35201,0.27863,0.8174,0.000913937,0.000913937,0.000913937
49,788.735,0.32312,0.25062,0.81994,0.96544,0.98104,0.973,0.91162,0.31484,0.27508,0.80485,0.000897914,0.000897914,0.000897914
50,804.806,0.32208,0.23827,0.82102,0.96465,0.9793,0.97511,0.91481,0.31251,0.2679,0.80408,0.000881892,0.000881892,0.000881892
51,820.537,0.28547,0.22756,0.81691,0.96575,0.98728,0.97988,0.91626,0.3194,0.25981,0.80678,0.000865869,0.000865869,0.000865869
52,836.813,0.32977,0.24696,0.82026,0.9646,0.98462,0.98097,0.9151,0.32229,0.2729,0.80821,0.000849846,0.000849846,0.000849846
53,852.646,0.30005,0.23487,0.81622,0.95777,0.96682,0.96698,0.89389,0.33957,0.31399,0.80792,0.000833824,0.000833824,0.000833824
54,868.829,0.34608,0.25313,0.83109,0.96723,0.98376,0.98535,0.92393,0.30814,0.25331,0.80194,0.000817801,0.000817801,0.000817801
55,884.808,0.31331,0.23203,0.81815,0.9579,0.97587,0.97696,0.91353,0.31439,0.2735,0.80621,0.000801778,0.000801778,0.000801778
56,901.216,0.31265,0.23177,0.81764,0.95728,0.97505,0.98097,0.91399,0.31762,0.27321,0.80383,0.000785756,0.000785756,0.000785756
57,917.254,0.30623,0.23027,0.81829,0.96879,0.98594,0.98133,0.91905,0.3039,0.25029,0.80241,0.000769733,0.000769733,0.000769733
58,933.184,0.31622,0.2324,0.8195,0.96413,0.98547,0.98099,0.91805,0.30981,0.25596,0.80288,0.000753711,0.000753711,0.000753711
59,949.242,0.30513,0.22957,0.82064,0.95998,0.98278,0.9784,0.91258,0.30537,0.26957,0.80493,0.000737688,0.000737688,0.000737688
60,965.094,0.24956,0.19788,0.81142,0.9676,0.98271,0.98021,0.91814,0.31177,0.25337,0.80287,0.000721665,0.000721665,0.000721665
61,980.859,0.26818,0.20487,0.8112,0.96854,0.98257,0.98666,0.92056,0.31034,0.24962,0.80722,0.000705643,0.000705643,0.000705643
62,996.759,0.27935,0.21363,0.81878,0.96776,0.98754,0.98698,0.92094,0.3036,0.24308,0.80322,0.00068962,0.00068962,0.00068962
63,1012.6,0.28879,0.21565,0.81478,0.96966,0.98472,0.98493,0.92194,0.31306,0.24459,0.80692,0.000673597,0.000673597,0.000673597
64,1028.44,0.26847,0.20479,0.81442,0.9666,0.98263,0.98055,0.91937,0.30315,0.24736,0.80232,0.000657575,0.000657575,0.000657575
65,1044.44,0.29427,0.21742,0.81685,0.96955,0.9885,0.98029,0.91507,0.31119,0.23944,0.80461,0.000641552,0.000641552,0.000641552
66,1060.37,0.31013,0.21908,0.82033,0.96616,0.98859,0.97995,0.92116,0.29848,0.24102,0.80327,0.00062553,0.00062553,0.00062553
67,1076.11,0.25919,0.19533,0.80958,0.9685,0.98799,0.98162,0.91815,0.30335,0.23962,0.80345,0.000609507,0.000609507,0.000609507
